Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,1. Category
"Sri Hartamas, Kuala Lumpur","4,180,000",6,5,2,3-sty Terrace/Link House (Intermediate),2400,Partly Furnished,High
"Damansara, Kuala Lumpur","1,500,000",5,3,4,2-sty Terrace/Link House (Intermediate),1920,Unfurnished,Mid
"Sri Hartamas, Kuala Lumpur","4,500,000",6,5,2,Semi-detached House (Corner),3200,Partly Furnished,High
"Ampang, Kuala Lumpur","1,300,000",5,4,2,2-sty Terrace/Link House (Intermediate),1920,Unfurnished,Mid
"Jalan Ipoh, Kuala Lumpur","1,600,000",6,5,2,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Keramat, Kuala Lumpur","1,200,000",4,5,2,3-sty Terrace/Link House (Intermediate),1800,Fully Furnished,Mid
"Setapak, Kuala Lumpur","1,450,000",5,5,2,2.5-sty Terrace/Link House,3600,Fully Furnished,Mid
"Titiwangsa, Kuala Lumpur","3,280,000",6,4,2,Bungalow (Corner),6000,Partly Furnished,Mid
"Ampang, Kuala Lumpur","3,200,000",7,7,2,Bungalow (Corner),5500,Unknown,Mid
"Sri Hartamas, Kuala Lumpur","2,480,000",6,5,4,Semi-detached House (Intermediate),3900,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,250,000",6,5,2,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","2,100,000",5,5,3,3-sty Terrace/Link House (Intermediate),1968,Partly Furnished,Mid
"Bukit Kiara, Kuala Lumpur","4,988,888",5,6,3,4-sty Terrace/Link House,2040,Partly Furnished,High
"Bukit Kiara, Kuala Lumpur","4,988,888",6,6,3,4-sty Terrace/Link House (Intermediate),2040,Partly Furnished,High
"Wangsa Maju, Kuala Lumpur","1,240,000",6,4,4,2.5-sty Terrace/Link House (Intermediate),2040,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","3,490,000",5,6,4,3-sty Terrace/Link House (Intermediate),2160,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","750,000",5,4,4,2-sty Terrace/Link House (Corner),2160,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","1,890,000",6,8,5,3-sty Terrace/Link House (Intermediate),2232,Unfurnished,Mid
"Kepong, Kuala Lumpur","1,890,000",6,7,5,3-sty Terrace/Link House (Intermediate),2232,Unfurnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,950,000",5,4,3,2-sty Terrace/Link House (EndLot),1875,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,650,000",4,3,1,Condominium (Intermediate),1650,Fully Furnished,Mid
"Bangsar, Kuala Lumpur","6,800,000",7,6,6,Bungalow,7416,Partly Furnished,High
"Seputeh, Kuala Lumpur","1,380,000",4,4,2,2-sty Terrace/Link House,2200,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","8,200,000",7,4,2,Bungalow,13027,Partly Furnished,High
"Bangsar, Kuala Lumpur","7,000,000",7,5,2,Bungalow,10000,Partly Furnished,High
"Bangsar, Kuala Lumpur","5,800,000",7,5,5,Bungalow (Intermediate),10000,Partly Furnished,High
"Bangsar, Kuala Lumpur","7,000,000",7,7,2,Bungalow,6867,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,280,000",4,3,3,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,280,000",4,3,2,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,800,000",4,3,3,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"Ampang, Kuala Lumpur","2,100,000",4,5,2,Serviced Residence (Duplex),960,Fully Furnished,Mid
"Ampang Hilir, Kuala Lumpur","1,050,000",2,2,1,Serviced Residence (Intermediate),959,Fully Furnished,Low
"Bukit Jalil, Kuala Lumpur","1,250,000",6,5,3,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"KLCC, Kuala Lumpur","1,280,000",3,2,1,Serviced Residence (Corner),900,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,280,000",4,3,2,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,450,000",4,3,2,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"OUG, Kuala Lumpur","588,000",3,2,2,1.5-sty Terrace/Link House,1540,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","2,780,000",5,4,2,Semi-detached House (Intermediate),3600,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","2,780,000",5,3,2,Semi-detached House (Intermediate),3600,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,800,000",6,3,2,2-sty Terrace/Link House,1875,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","2,880,000",5,4,3,Semi-detached House (Intermediate),3600,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,570,000",4,3,2,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","5,850,000",7,6,2,Bungalow,6650,Partly Furnished,High
"Bangsar, Kuala Lumpur","2,500,000",5,4,2,2-sty Terrace/Link House,2250,Partly Furnished,Mid
"Bandar Damai Perdana, Kuala Lumpur","720,000",4,3,2,2-sty Terrace/Link House (Intermediate),1690,Partly Furnished,Low
"Wangsa Maju, Kuala Lumpur","430,000",4,2,1,Apartment (Corner),1173,Partly Furnished,Low
"Cheras, Kuala Lumpur","3,288,888",6,6,6,Semi-detached House (Intermediate),4400,Unfurnished,Mid
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","830,000",4,3,2,2-sty Terrace/Link House (Intermediate),1600,Unfurnished,Low
"OUG, Kuala Lumpur","1,950,000",5,3,2,Semi-detached House,4100,Partly Furnished,Mid
"Taman Desa, Kuala Lumpur","460,000",1,1,1,Serviced Residence,578,Fully Furnished,Low
"Cheras, Kuala Lumpur","1,130,000",5,5,2,2-sty Terrace/Link House,1950,Partly Furnished,Low
"Taman Desa, Kuala Lumpur","2,680,000",4,5,4,3-sty Terrace/Link House (Intermediate),2080,Partly Furnished,Mid
"Sungai Besi, Kuala Lumpur","1,430,000",5,6,2,3-sty Terrace/Link House (Intermediate),2080,Unfurnished,Mid
"Taman Melawati, Kuala Lumpur","2,350,000",5,5,4,3-sty Terrace/Link House (Intermediate),2132,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","2,550,000",4,4,2,2-sty Terrace/Link House (Intermediate),2500,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,200,000",4,4,2,Townhouse (Intermediate),2262,Partly Furnished,Mid
"OUG, Kuala Lumpur","2,520,000",7,5,2,Semi-detached House,4000,Partly Furnished,Mid
"Kepong, Kuala Lumpur","830,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","12,500,000",7,9,8,Bungalow,8000,Fully Furnished,High
"Puchong, Kuala Lumpur","600,000",3,2,2,1-sty Terrace/Link House,1400,Partly Furnished,Low
"Bandar Damai Perdana, Kuala Lumpur","730,000",4,2,2,2-sty Terrace/Link House,1400,Partly Furnished,Low
"Sunway SPK, Kuala Lumpur","1,250,000",4,4,2,Townhouse (Intermediate),2262,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,350,000",4,4,2,Townhouse (Intermediate),2262,Partly Furnished,Mid
"Taman Desa, Kuala Lumpur","648,000",3,2,2,Serviced Residence (Intermediate),936,Partly Furnished,Low
"Kuchai Lama, Kuala Lumpur","490,000",3,2,2,Serviced Residence (Intermediate),935,Fully Furnished,Low
"Pandan Indah, Kuala Lumpur","1,230,000",6,4,4,Townhouse,4900,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,500,000",5,5,3,Semi-detached House,3874,Partly Furnished,Mid
"Sri Petaling, Kuala Lumpur","980,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1760,Unfurnished,Low
"Damansara Heights, Kuala Lumpur","5,800,000",7,7,8,Bungalow,7000,Partly Furnished,High
"Sunway SPK, Kuala Lumpur","1,280,000",4,4,2,Townhouse (Intermediate),2262,Unfurnished,Mid
"Cheras, Kuala Lumpur","699,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Mont Kiara, Kuala Lumpur","3,800,000",5,4,2,Semi-detached House (Intermediate),2392,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","5,850,000",7,7,4,Bungalow (Intermediate),6100,Partly Furnished,High
"Wangsa Maju, Kuala Lumpur","1,920,000",5,3,2,Semi-detached House (Corner),5000,Partly Furnished,Mid
"Cheras, Kuala Lumpur","905,000",5,3,2,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Low
"Cheras, Kuala Lumpur","680,000",4,3,2,Townhouse (Intermediate),2464,Partly Furnished,Low
"Sunway SPK, Kuala Lumpur","1,350,000",4,4,2,Townhouse (Intermediate),2262,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","6,300,000",7,7,2,Bungalow,6800,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","8,100,000",7,6,2,Bungalow,6900,Partly Furnished,High
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,650,000",7,6,4,Bungalow (Corner),3068,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","14,500,000",7,8,5,Bungalow,8600,Fully Furnished,High
"Bandar Damai Perdana, Kuala Lumpur","620,000",4,2,2,2-sty Terrace/Link House,1080,Partly Furnished,Low
"Dutamas, Kuala Lumpur","2,300,000",6,6,2,Semi-detached House,1894,Partly Furnished,Mid
"Federal Hill, Kuala Lumpur","3,300,000",5,6,2,Townhouse (Corner),3300,Partly Furnished,Mid
"Federal Hill, Kuala Lumpur","4,600,000",5,6,2,Semi-detached House (Intermediate),7950,Partly Furnished,High
"Cheras, Kuala Lumpur","1,100,000",5,3,2,Condominium (Corner),1608,Partly Furnished,Low
"Cheras, Kuala Lumpur","990,000",5,3,2,Condominium (Intermediate),1672,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","7,300,000",7,6,2,Bungalow (Corner),7500,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","7,680,000",7,6,6,Bungalow,7200,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","14,800,000",7,7,5,Bungalow (Corner),13041,Fully Furnished,High
"Sri Hartamas, Kuala Lumpur","14,800,000",7,7,2,Bungalow,8600,Fully Furnished,High
"Sri Petaling, Kuala Lumpur","370,000",2,2,1,2-sty Terrace/Link House (Intermediate),825,Partly Furnished,Low
"Sri Hartamas, Kuala Lumpur","16,000,000",7,7,28,Bungalow,17800,Partly Furnished,High
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","1,200,000",3,4,2,Condominium (Intermediate),1875,Partly Furnished,Mid
"Bangsar South, Kuala Lumpur","690,000",2,2,1,Serviced Residence (Intermediate),815,Fully Furnished,Low
"Kepong, Kuala Lumpur","638,000",4,2,4,1.5-sty Terrace/Link House (EndLot),1890,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","1,550,000",4,3,2,Condominium,1871,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","5,350,000",7,4,2,Bungalow (Intermediate),7200,Partly Furnished,High
"Cheras, Kuala Lumpur","599,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished,Low
"Bukit Jalil, Kuala Lumpur","1,250,000",6,4,2,3-sty Terrace/Link House (Intermediate),1720,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","4,280,000",6,5,4,Semi-detached House (EndLot),4000,Partly Furnished,High
"Bukit Jalil, Kuala Lumpur","3,200,000",7,7,5,Semi-detached House (Intermediate),5317,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","5,000,000",7,7,2,Bungalow (Intermediate),8000,Partly Furnished,High
"Wangsa Maju, Kuala Lumpur","385,000",2,2,1,Serviced Residence (Intermediate),657,Partly Furnished,Low
"Cheras, Kuala Lumpur","880,000",5,4,2,2-sty Terrace/Link House (EndLot),1820,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,850,000",4,4,3,3-sty Terrace/Link House (Intermediate),1320,Partly Furnished,Mid
"Ampang Hilir, Kuala Lumpur","2,600,000",4,5,3,2-sty Terrace/Link House,2700,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,500,000",4,4,2,Bungalow,1980,Fully Furnished,Mid
"Ampang, Kuala Lumpur","2,980,000",7,7,2,Bungalow (Corner),6000,Unfurnished,Mid
"Bangsar, Kuala Lumpur","12,000,000",7,6,4,Bungalow,11500,Partly Furnished,High
"Bangsar, Kuala Lumpur","7,500,000",7,7,2,Bungalow,6000,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","2,200,000",2,3,2,2-sty Terrace/Link House,2850,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","4,200,000",5,6,2,2.5-sty Terrace/Link House (EndLot),2170,Partly Furnished,High
"Wangsa Maju, Kuala Lumpur","680,000",4,2,2,2-sty Terrace/Link House (Intermediate),1200,Fully Furnished,Low
"Sentul, Kuala Lumpur","1,200,000",4,3,2,Condominium,1757,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","4,500,000",5,5,2,2.5-sty Terrace/Link House (Intermediate),2170,Unfurnished,High
"Bukit Jalil, Kuala Lumpur","450,000",3,2,1,Condominium (EndLot),1222,Fully Furnished,Low
"Sungai Besi, Kuala Lumpur","1,200,000",5,4,3,3-sty Terrace/Link House (Intermediate),1600,Fully Furnished,Mid
"Setapak, Kuala Lumpur","650,000",4,3,2,2-sty Terrace/Link House (Corner),1790,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","4,600,000",5,5,2,2.5-sty Terrace/Link House (Intermediate),2170,Unfurnished,High
"Kepong, Kuala Lumpur","750,000",4,3,3,2-sty Terrace/Link House,1540,Unfurnished,Low
"Bangsar, Kuala Lumpur","3,880,000",4,2,4,Bungalow (Intermediate),1760,Fully Furnished,High
"Sunway SPK, Kuala Lumpur","2,050,000",6,4,4,2.5-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Cheras, Kuala Lumpur","540,000",4,3,2,2-sty Terrace/Link House,1170,Partly Furnished,Low
"Cheras, Kuala Lumpur","498,000",4,3,2,2-sty Terrace/Link House,1080,Unfurnished,Low
"Jalan Kuching, Kuala Lumpur","385,000",3,2,2,Apartment,1221,Partly Furnished,Low
"Sunway SPK, Kuala Lumpur","1,750,000",5,5,4,2.5-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","2,500,000",6,6,2,Semi-detached House,3600,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,650,000",6,5,2,3-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","16,000,000",7,8,2,Bungalow,11500,Partly Furnished,High
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,000,000",6,5,2,Semi-detached House (Intermediate),3960,Unfurnished,Mid
"Ampang, Kuala Lumpur","1,400,000",5,4,6,Semi-detached House,3200,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","4,380,000",7,5,2,Bungalow,6500,Partly Furnished,High
"Bangsar, Kuala Lumpur","18,000,000",7,8,5,Bungalow (Intermediate),15000,Partly Furnished,High
"Ampang Hilir, Kuala Lumpur","606,000",3,3,2,2-sty Terrace/Link House (Intermediate),1200,Partly Furnished,Low
"Sunway SPK, Kuala Lumpur","2,050,000",6,5,3,2.5-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,980,000",4,4,2,2.5-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","4,000,000",7,7,4,Bungalow (Intermediate),5337,Partly Furnished,High
"Dutamas, Kuala Lumpur","2,500,000",5,5,2,Semi-detached House,3800,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","3,200,000",7,7,5,Bungalow (Intermediate),5317,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,750,000",6,5,2,2.5-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","1,480,000",5,4,2,2-sty Terrace/Link House,2720,Partly Furnished,Mid
"Desa Pandan, Kuala Lumpur","1,200,000",3,2,2,Serviced Residence,2000,Unfurnished,Mid
"Desa ParkCity, Kuala Lumpur","4,990,000",8,8,4,3.5-sty Terrace/Link House,3300,Partly Furnished,High
"Bukit Jalil, Kuala Lumpur","1,950,000",5,4,2,3-sty Terrace/Link House,2040,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,750,000",5,4,2,3-sty Terrace/Link House,2160,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,850,000",5,4,2,3-sty Terrace/Link House,2040,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,790,000",4,4,2,3-sty Terrace/Link House,1840,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","1,500,000",5,4,2,2-sty Terrace/Link House (Intermediate),2720,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,800,000",5,4,2,3-sty Terrace/Link House,2040,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","2,750,000",7,4,2,2-sty Terrace/Link House,2720,Partly Furnished,Mid
"Bukit Tunku (Kenny Hills), Kuala Lumpur","2,500,000",4,4,3,Condominium (Corner),3788,Partly Furnished,Mid
"Bukit Tunku (Kenny Hills), Kuala Lumpur","9,000,000",7,7,4,Bungalow (Corner),8500,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","17,000,000",7,9,5,Bungalow (Intermediate),26920,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","8,000,000",7,6,8,Bungalow (Corner),20800,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","8,000,000",7,7,6,Bungalow (Corner),20600,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","11,000,000",7,6,4,Bungalow (Corner),28313,Unfurnished,High
"Cheras, Kuala Lumpur","3,250,000",7,7,2,Bungalow (Intermediate),5000,Unfurnished,Mid
"Bukit Jalil, Kuala Lumpur","398,000",3,2,1,Apartment (Corner),952,Partly Furnished,Low
"Bukit Jalil, Kuala Lumpur","590,000",4,2,1,Condominium (EndLot),1252,Fully Furnished,Low
"Bukit Jalil, Kuala Lumpur","3,000,000",7,6,2,Semi-detached House,4983,Unfurnished,Mid
"Bukit Jalil, Kuala Lumpur","2,850,000",5,4,2,3-sty Terrace/Link House,4040,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","2,500,000",5,4,2,3-sty Terrace/Link House (Corner),4590,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","4,950,000",7,7,2,3.5-sty Terrace/Link House (Intermediate),2805,Unfurnished,High
"Desa ParkCity, Kuala Lumpur","5,000,000",8,9,2,3.5-sty Terrace/Link House (Intermediate),2805,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","5,500,000",8,8,2,3.5-sty Terrace/Link House (Intermediate),2805,Partly Furnished,High
"Ampang, Kuala Lumpur","2,450,000",6,4,5,3-sty Terrace/Link House (EndLot),4112,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","6,200,000",8,9,2,3.5-sty Terrace/Link House,2805,Partly Furnished,High
"Country Heights Damansara, Kuala Lumpur","9,500,000",7,7,6,Bungalow (Corner),10000,Partly Furnished,High
"Country Heights Damansara, Kuala Lumpur","9,000,000",7,10,10,Bungalow,11700,Partly Furnished,High
"Country Heights Damansara, Kuala Lumpur","8,180,000",7,6,4,Bungalow,9709,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","14,000,000",7,6,2,Bungalow,9124,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","12,800,000",7,9,10,Bungalow (Intermediate),8000,Fully Furnished,High
"Damansara Heights, Kuala Lumpur","3,800,000",7,6,4,Bungalow,5000,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","13,000,000",7,6,6,Bungalow,12300,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","4,100,000",7,5,5,Bungalow (Corner),6144,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","15,000,000",7,8,6,Bungalow (Corner),9000,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","6,500,000",8,7,2,3.5-sty Terrace/Link House,2805,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,430,000",2,2,1,Condominium (Corner),1045,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,180,000",5,3,6,2-sty Terrace/Link House (EndLot),2380,Unfurnished,Mid
"Damansara Heights, Kuala Lumpur","6,500,000",7,7,2,Bungalow,6300,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","3,500,000",5,5,2,4-sty Terrace/Link House,2500,Unfurnished,Mid
"Taman Desa, Kuala Lumpur","1,450,000",5,3,2,2-sty Terrace/Link House,1870,Unfurnished,Mid
"Damansara Heights, Kuala Lumpur","4,600,000",7,6,3,Bungalow (Intermediate),6360,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","12,500,000",7,6,2,Bungalow,8000,Fully Furnished,High
"Damansara Heights, Kuala Lumpur","7,500,000",7,6,6,Bungalow (Intermediate),11000,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","8,300,000",7,6,10,Bungalow (Intermediate),6900,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","8,200,000",7,6,4,Bungalow (Intermediate),6878,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","6,200,000",7,5,4,Bungalow (Intermediate),7329,Partly Furnished,High
"Federal Hill, Kuala Lumpur","5,950,000",7,6,2,Bungalow (Intermediate),9548,Partly Furnished,High
"Kepong, Kuala Lumpur","1,800,000",6,6,2,Semi-detached House (Intermediate),2380,Unfurnished,Mid
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,500,000",7,7,5,Bungalow,4817,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","2,200,000",5,3,2,2-sty Terrace/Link House (Corner),2380,Partly Furnished,Mid
"Kepong, Kuala Lumpur","2,680,000",7,6,2,Bungalow (Intermediate),5000,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","9,900,000",7,8,2,Bungalow (Corner),8700,Partly Furnished,High
"Setiawangsa, Kuala Lumpur","8,500,000",10,9,2,2.5-sty Terrace/Link House (Intermediate),8000,Partly Furnished,High
"Kepong, Kuala Lumpur","1,800,000",6,5,2,Semi-detached House (Intermediate),2380,Partly Furnished,Mid
"Kepong, Kuala Lumpur","3,600,000",6,6,7,Semi-detached House (Intermediate),4500,Partly Furnished,Mid
"Desa Petaling, Kuala Lumpur","3,230,000",5,5,2,Semi-detached House,2380,Unknown,Mid
"Setiawangsa, Kuala Lumpur","3,180,000",5,3,3,2-sty Terrace/Link House (Corner),3600,Partly Furnished,Mid
"KL Sentral, Kuala Lumpur","1,200,000",2,1,1,Condominium (Intermediate),811,Fully Furnished,Mid
"Cheras, Kuala Lumpur","1,600,000",5,5,2,2-sty Terrace/Link House,2720,Unfurnished,Mid
"Cheras, Kuala Lumpur","1,800,000",5,6,2,Semi-detached House (Intermediate),3475,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","2,300,000",6,6,2,3-sty Terrace/Link House,2720,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,050,000",5,4,3,Semi-detached House (Intermediate),2625,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","6,700,000",7,7,2,Bungalow (Intermediate),7847,Partly Furnished,High
"Kepong, Kuala Lumpur","1,950,000",4,2,2,Semi-detached House (Intermediate),2625,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,950,000",6,6,2,Semi-detached House (Intermediate),2880,Unfurnished,Mid
"Kepong, Kuala Lumpur","2,200,000",6,6,2,Semi-detached House (Intermediate),3060,Unfurnished,Mid
"Dutamas, Kuala Lumpur","1,150,000",5,4,2,Condominium (Intermediate),1970,Fully Furnished,Low
"Dutamas, Kuala Lumpur","938,000",5,4,2,Condominium (Corner),1830,Fully Furnished,Low
"Dutamas, Kuala Lumpur","1,550,000",6,6,3,Condominium (Corner),4740,Partly Furnished,Mid
"Dutamas, Kuala Lumpur","1,880,000",5,4,2,Condominium (Corner),5823,Fully Furnished,Mid
"Dutamas, Kuala Lumpur","740,000",4,3,2,Condominium (Intermediate),1356,Fully Furnished,Low
"Dutamas, Kuala Lumpur","1,700,000",7,6,3,Condominium (Corner),3600,Fully Furnished,Mid
"Dutamas, Kuala Lumpur","3,280,000",6,6,2,Semi-detached House,4047,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","1,200,000",4,3,2,2-sty Terrace/Link House (Corner),2660,Partly Furnished,Mid
"Kuchai Lama, Kuala Lumpur","2,850,000",5,5,2,Semi-detached House (Corner),6300,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","7,500,000",7,7,3,Bungalow,6100,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","3,200,000",6,5,2,Semi-detached House,3600,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","3,490,000",5,5,2,3-sty Terrace/Link House (Corner),2850,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","12,000,000",7,6,6,Bungalow,9600,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","7,300,000",7,6,2,Bungalow,7000,Partly Furnished,High
"Cheras, Kuala Lumpur","2,280,000",5,7,4,Semi-detached House (Corner),5900,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,895,000",5,4,2,2-sty Terrace/Link House (EndLot),2850,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","2,600,000",4,3,5,2-sty Terrace/Link House (Corner),3797,Fully Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,800,000",5,4,2,2-sty Terrace/Link House (EndLot),2850,Partly Furnished,Mid
"OUG, Kuala Lumpur","5,900,000",7,8,2,Bungalow (Corner),12722,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","2,800,000",5,4,2,2-sty Terrace/Link House (EndLot),2850,Partly Furnished,Mid
"OUG, Kuala Lumpur","3,600,000",7,6,2,Bungalow (Corner),4900,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","855,000",4,3,2,Condominium,1513,Unfurnished,Low
"Cheras, Kuala Lumpur","728,000",4,3,2,2-sty Terrace/Link House (Intermediate),1300,Partly Furnished,Low
"Wangsa Maju, Kuala Lumpur","383,820",3,2,2,Condominium (Intermediate),1270,Unfurnished,Low
"Taman Melawati, Kuala Lumpur","1,950,000",6,6,4,Semi-detached House (Intermediate),3040,Unfurnished,Mid
"Setapak, Kuala Lumpur","420,000",4,2,2,Condominium,1207,Unfurnished,Low
"Segambut, Kuala Lumpur","3,800,000",7,7,8,Bungalow (Intermediate),4667,Unfurnished,Mid
"Sri Petaling, Kuala Lumpur","410,000",3,2,1,1-sty Terrace/Link House,784,Partly Furnished,Low
"Cheras, Kuala Lumpur","1,750,000",6,6,2,Semi-detached House (Intermediate),3200,Unfurnished,Mid
"Cheras, Kuala Lumpur","968,000",3,2,2,2-sty Terrace/Link House (Corner),3000,Unfurnished,Low
"Kepong, Kuala Lumpur","2,100,000",6,6,5,Semi-detached House (Intermediate),3230,Unfurnished,Mid
"SEMARAK, Kuala Lumpur","3,500,000",7,5,2,Bungalow,7980,Unfurnished,Mid
